,Date,ETVI 등급,ETVI 점수,ETF시장의 변동성,ETVI
267,2004-01-21,5(매우낮음),9.103400942208168,0.8026996174923241,5.416139182020159
268,2004-01-22,5(매우낮음),7.304417742277492,0.9634848520189279,7.482602120534311
269,2004-01-23,5(매우낮음),7.2051295945988345,0.6287616595045196,4.835150870148014
270,2004-01-26,5(매우낮음),9.483683347789334,1.0056735822066896,6.473282062132333
271,2004-01-27,5(매우낮음),7.336933694861505,0.9815493174307165,6.101279001214791
272,2004-01-28,5(매우낮음),9.258799441724229,1.2197385928619056,8.748857516097134
273,2004-01-29,5(매우낮음),8.537189845865374,0.9983046863938202,6.150148316180289
274,2004-01-30,5(매우낮음),6.952266642827848,0.8364854177194178,5.422802299199654
275,2004-02-02,5(매우낮음),9.622539205560848,0.6089976313218244,5.126080771425755
276,2004-02-03,5(매우낮음),7.156281459434279,0.6473808188923871,5.55279505391951
277,2004-02-04,5(매우낮음),8.149023380099766,1.8310654967284212,11.007180657043083
278,2004-02-05,5(매우낮음),7.926016547342048,0.6446733666149854,5.058842169353098
279,2004-02-06,5(매우낮음),8.061519597943622,1.2373119758276068,7.712818123945882
280,2004-02-09,5(매우낮음),8.571546471159234,1.4259762576377835,12.06046404992095
281,2004-02-10,5(매우낮음),7.719647003963864,1.7643396290203526,10.601704548190124
282,2004-02-11,5(매우낮음),7.881477787946488,0.8744952520974342,5.431640656068236
283,2004-02-12,5(매우낮음),10.539671669767955,1.2768936504051382,9.246060279108177
284,2004-02-13,5(매우낮음),5.532810787559177,0.8561623793825263,6.470084537502817
285,2004-02-16,5(매우낮음),6.75826115119678,1.4030500058975048,9.148187581910227
286,2004-02-17,5(매우낮음),9.549249116352021,1.1435644122253446,8.534068409172457
287,2004-02-18,5(매우낮음),8.264109600126599,1.747546867133279,11.688014853779096
288,2004-02-19,4(낮음),17.78891808672876,2.3000472973829216,12.930990680109845
289,2004-02-20,4(낮음),20.30031990956187,2.188961428633285,13.182041141798361
290,2004-02-23,4(낮음),15.422687147114985,2.006996731692849,13.259947522563653
291,2004-02-24,4(낮음),21.204960190827993,2.123182619372514,14.105659392405421
292,2004-02-25,4(낮음),13.705318856044261,3.3344455368480292,18.500798389572036
293,2004-02-26,4(낮음),20.653104082388115,2.331368287612041,16.20629793909865
294,2004-02-27,4(낮음),15.079109471456501,2.8470010301695803,18.104225801611076
295,2004-03-02,4(낮음),14.317633906392924,1.9352304738198138,16.426632348813804
296,2004-03-03,4(낮음),20.527305072473904,3.2659248980214977,22.479713963885633
297,2004-03-04,4(낮음),16.40699732581424,2.3366179859741005,17.98845942296077
298,2004-03-05,4(낮음),19.05006198403259,1.9940820191873354,18.843175035417357
299,2004-03-08,4(낮음),15.340949440405343,3.1795700397156983,21.09907687059295
300,2004-03-09,4(낮음),16.25884086344581,3.418648951083742,22.512799970943085
301,2004-03-10,4(낮음),18.723581961778397,1.7710906452050028,14.77132121316426
